Tool,File,Peak memory used,Runtime,Grouping Method,Singletons,Dataset,Completed?,Input reads (total),Input reads (mapped),Ouput reads (total),Output reads (mapped),Iteration
RUMINA_8_threads.directional_0_--singletons,SRR2057574.bam,1.50299072265625,28.384487867355347,directional,Singletons,iclip,Completed,34025199,25909660,10320093,10320093,0
RUMINA_8_threads.directional_0_--singletons,SRR2057575.bam,1.525360107421875,31.624836921691895,directional,Singletons,iclip,Completed,44442666,35308346,9919599,9919599,0
RUMINA_8_threads.directional_0_--singletons,SRR2057577.bam,1.38629150390625,23.46979594230652,directional,Singletons,iclip,Completed,43973441,28871002,6248150,6248150,0
RUMINA_8_threads.directional_0_--singletons,SRR2057588.bam,0.1639862060546875,12.071233987808228,directional,Singletons,iclip,Completed,43441898,32658152,438292,438292,0
RUMINA_8_threads.directional_0_--singletons,SRR2057589.bam,2.3917083740234375,36.38283085823059,directional,Singletons,iclip,Completed,42863448,32826007,14622457,14622457,0
RUMINA_8_threads.directional_0_--singletons,SRR2057576.bam,0.51324462890625,11.820497989654541,directional,Singletons,iclip,Completed,40150715,25982822,848650,848650,0
RUMINA_8_threads.directional_0_--singletons,SRR2057590.bam,0.1661834716796875,7.677145004272461,directional,Singletons,iclip,Completed,29013856,21033934,175543,175543,0
RUMINA_8_threads.directional_0_--singletons,SRR2057584.bam,1.1029052734375,21.432674884796143,directional,Singletons,iclip,Completed,42826826,31966575,5430607,5430607,0
RUMINA_8_threads.directional_0_--singletons,SRR2057585.bam,1.8579559326171875,28.344439029693604,directional,Singletons,iclip,Completed,40639954,29655146,9010288,9010288,0
RUMINA_8_threads.directional_0_--singletons,SRR2057591.bam,0.8833160400390625,17.934695959091187,directional,Singletons,iclip,Completed,32199796,24087600,5130981,5130981,0
RUMINA_8_threads.directional_0_--singletons,SRR2057578.bam,0.5169219970703125,13.19688606262207,directional,Singletons,iclip,Completed,40335876,27320610,1530110,1530110,0
RUMINA_8_threads.directional_0_--singletons,SRR2057587.bam,0.206268310546875,13.098557233810425,directional,Singletons,iclip,Completed,50200307,35217677,485115,485115,0
RUMINA_8_threads.directional_0_--singletons,SRR2057593.bam,0.3763885498046875,8.483522891998291,directional,Singletons,iclip,Completed,26262514,15752539,1449316,1449316,0
RUMINA_8_threads.directional_0_--singletons,SRR2057592.bam,0.5552825927734375,12.443970918655396,directional,Singletons,iclip,Completed,29407116,18608161,2436519,2436519,0
RUMINA_8_threads.directional_0_--singletons,SRR2057586.bam,0.108612060546875,5.268305063247681,directional,Singletons,iclip,Completed,19071541,14207706,157404,157404,0
RUMINA_8_threads.directional_0_--singletons,SRR2057579.bam,0.3224639892578125,8.624797105789185,directional,Singletons,iclip,Completed,29692490,19358021,807830,807830,0
RUMINA_8_threads.directional_0_--singletons,SRR2057569.bam,1.6024017333984375,31.943304300308228,directional,Singletons,iclip,Completed,50779697,38750707,8275763,8275763,0
RUMINA_8_threads.directional_0_--singletons,SRR2057582.bam,0.7947540283203125,16.995723724365234,directional,Singletons,iclip,Completed,39471313,28875433,3479553,3479553,0
RUMINA_8_threads.directional_0_--singletons,SRR2057596.bam,0.070220947265625,1.714507818222046,directional,Singletons,iclip,Completed,13421059,4272050,118711,118711,0
RUMINA_8_threads.directional_0_--singletons,SRR2057597.bam,0.034210205078125,0.2318282127380371,directional,Singletons,iclip,Completed,4672700,250648,23537,23537,0
RUMINA_8_threads.directional_0_--singletons,SRR2057583.bam,1.7690277099609375,31.06970477104187,directional,Singletons,iclip,Completed,47622399,32736687,9510357,9510357,0
RUMINA_8_threads.directional_0_--singletons,SRR2057568.bam,0.1886138916015625,7.2151780128479,directional,Singletons,iclip,Completed,24425746,18186531,452318,452318,0
RUMINA_8_threads.directional_0_--singletons,SRR2057595.bam,0.0405426025390625,1.1259779930114746,directional,Singletons,iclip,Completed,14786493,2827748,26705,26705,0
RUMINA_8_threads.directional_0_--singletons,SRR2057581.bam,0.5293121337890625,18.859144926071167,directional,Singletons,iclip,Completed,65530071,47111880,719329,719329,0
RUMINA_8_threads.directional_0_--singletons,SRR2057580.bam,0.9994049072265625,21.343127965927124,directional,Singletons,iclip,Completed,55869362,39806552,2990346,2990346,0
